의료기관명,주소
꾸러기소아과의원,강원특별자치도 동해시 중앙로 249 (천곡동)
동해금강요양병원,강원특별자치도 동해시 동해대로 5143 (효가동)
김약국,강원특별자치도 동해시 충혼길 41 (천곡동)
서울베스트안과의원,강원특별자치도 동해시 중앙로 237 (천곡동)
동해금강의원,강원특별자치도 동해시 동해대로 5143 (효가동)
삼삼온누리약국,"강원특별자치도 동해시 천곡로 52, 103호 (천곡동, 영동빌딩)"
누가이비인후과의원,"강원특별자치도 동해시 한섬로 111-7, 3층 (천곡동, 현진빌딩)"
강남프라자약국,강원특별자치도 동해시 동해대로 5133 (효가동)
이연수내과의원,"강원특별자치도 동해시 중앙로 229, 2층 (천곡동)"
이플란트치과의원,"강원특별자치도 동해시 중앙로 237, 3층 301-1호 (천곡동, 삼양골든빌딩)"
부곡의원,강원특별자치도 동해시 발한로 69 (부곡동)
무지개약국,"강원특별자치도 동해시 천곡로 76, 104호 (천곡동)"
건강약국,"강원특별자치도 동해시 천곡로 68, 111호 (천곡동)"
정다운치과의원,"강원특별자치도 동해시 발한로 179, 2층 (발한동)"
으뜸길약국,강원특별자치도 동해시 효자로 690 (효가동)
한성약국,강원특별자치도 동해시 발한로 209 (발한동)
아라한의원,"강원특별자치도 동해시 중앙로 249, 4층 401호 (천곡동)"
김인수정형외과의원,강원특별자치도 동해시 천곡로 86-2 (천곡동)
패밀리치과의원,강원특별자치도 동해시 하평로 11 (평릉동)
드라마치과의원,"강원특별자치도 동해시 천곡로 51, 2층 (천곡동)"
치아사랑치과의원,"강원특별자치도 동해시 청운1길 51-1, 2층 (쇄운동)"
시네마약국,강원특별자치도 동해시 한섬로 111-7 (천곡동)
그린옵티마약국,강원특별자치도 동해시 한섬로 111-7 (천곡동)
예스치과의원,강원특별자치도 동해시 한섬로  113-7 (천곡동)
연세진의원,강원특별자치도 동해시 지양길 2-1 (효가동)
호재의원,강원특별자치도 동해시 발한로 209 (발한동)
365사랑의원,강원특별자치도 동해시 발한로  167-2 (발한동)
아이맘산부인과의원,강원특별자치도 동해시 한섬로 113-7 (천곡동)
베네치아치과의원,강원특별자치도 동해시 청운1길 47 (쇄운동)
우리가족치과의원,강원특별자치도 동해시 중앙로 248 (천곡동)
동해요양병원,"강원특별자치도 동해시 중앙로 218 (천곡동, 해람병원)"
대학로약국,"강원특별자치도 동해시 대학로 20 (천곡동, 명동빌딩)"
삼성약국,강원특별자치도 동해시 발한로 212-1 (발한동)
동해화이트치과의원,"강원특별자치도 동해시 천곡로 76, 3층 301호 (천곡동, 다나빌딩)"
All바른의원,강원특별자치도 동해시 발한로 210 (발한동)
제일의원,강원특별자치도 동해시 오일장길 30 (구미동)
조아가정의학과의원,"강원특별자치도 동해시 한섬로 94 (천곡동, 동해농협)      3층"
청운마취통증의학과의원,강원특별자치도 동해시 청운1길 48 (쇄운동)
그랜드약국,강원특별자치도 동해시 청운1길 48 (쇄운동)
하얀미소치과의원,강원특별자치도 동해시 발한로 224 (발한동)
세종의원,"강원특별자치도 동해시 일출로 15 (발한동, 동해물약국)"
우리들연합의원,"강원특별자치도 동해시 송정중앙로 33 (송정동, 송정연합의원)"
아이리스의원,"강원특별자치도 동해시 천곡로 86 (천곡동, 동진빌딩)"
이재현내과의원,강원특별자치도 동해시 청운1길 48 (쇄운동)
바른치과교정과치과의원,"강원특별자치도 동해시 중앙로 229, 3층 (천곡동)"
미소디자인치과의원,"강원특별자치도 동해시 청운1길 55, 2층 (나안동)"
청솔요양병원,강원특별자치도 삼척시 도계읍 강원남부로 632
강원도삼척의료원,강원특별자치도 삼척시 오십천로 418 (남양동)
동서한의원,강원특별자치도 삼척시 진주로 24 (남양동)
강신우치과의원,강원특별자치도 삼척시 도계읍 도계로 218
삼척시보건소,강원특별자치도 삼척시 척주로 76(남양동)
고려의원,강원특별자치도 삼척시 도계읍 도계우회로 20 (고려의원)
김치과의원,"강원특별자치도 삼척시 진주로 8-1 (남양동, 김치과의원)"
김종호내과의원,"강원특별자치도 삼척시 진주로 15, 2층 202호 (남양동, 김종호내과의원)"
도계광업소의원,강원특별자치도 삼척시 도계읍 도계로3길 16-9 (도계광업소의원)
박종화치과의원,강원특별자치도 삼척시 진주로 24 (남양동)
김형태치과의원,강원특별자치도 삼척시 진주로 25 (남양동)
신기보건지소,강원특별자치도 삼척시 신기면 신기길 15 (신기보건지소)
도계보건출장소,강원특별자치도 삼척시 도계읍 전두안길 56 (도계보건출장소)
하장보건지소,강원특별자치도 삼척시 하장면 하장길 118 (하장보건지소)
미로보건지소,강원특별자치도 삼척시 미로면 적병길 8 (미로보건지소)
장호보건진료소,강원특별자치도 삼척시 근덕면 삼척로 2110-20
노곡보건지소,강원특별자치도 삼척시 노곡면 미근로 886 (노곡보건지소)
가곡보건지소,강원특별자치도 삼척시 가곡면 가곡천로 1455 (가곡보건지소)
마읍보건진료소,강원특별자치도 삼척시 노곡면 문의재로 2559-17
근덕보건지소,강원특별자치도 삼척시 근덕면 교가2길 10 (근덕보건지소)
원덕보건출장소,강원특별자치도 삼척시 원덕읍 삼척로 445-53 (원덕보건출장소)
임원보건진료소,강원특별자치도 삼척시 원덕읍 삼척로 1213
역둔보건진료소,강원특별자치도 삼척시 하장면 역둔원동로 1-8
상정보건진료소,강원특별자치도 삼척시 미로면 상정길 83
매원보건진료소,강원특별자치도 삼척시 근덕면 궁촌길 480
성심의원,강원특별자치도 삼척시 원덕읍 임원중앙로 36-1 (성심의원)
신준호의원,"강원특별자치도 삼척시 진주로 10 (남양동, 중앙약국)"
서울산부인과의원,"강원특별자치도 삼척시 진주로 20 (남양동, 중앙상가)"
윤비뇨기과의원,강원특별자치도 삼척시 진주로 21 (남양동)
박비뇨기과의원,강원특별자치도 삼척시 진주로 19 (남양동)
우리안과의원,강원특별자치도 삼척시 진주로 29 (남양동)
문희태신경외과의원,강원특별자치도 삼척시 진주로 28-41 (남양동)
삼척병원,"강원특별자치도 삼척시 오십천로 506 (정상동, 삼척병원)"
근덕세란의원,"강원특별자치도 삼척시 근덕면 삼척로 3651, 2층 (근덕세란의원)"
우리한의원,강원특별자치도 삼척시 대학로 26 (남양동)
현대한의원,강원특별자치도 삼척시 진주로 15 (남양동)
이외과의원,강원특별자치도 삼척시 진주로 12-38 (남양동)
청십자내과의원,강원특별자치도 삼척시 진주로 16 (남양동)
중앙치과의원,"강원특별자치도 삼척시 진주로 15 (남양동, 현대타운)"
이재민치과의원,"강원특별자치도 삼척시 진주로 20 (남양동, 중앙상가)"
도계한의원,강원특별자치도 삼척시 도계읍 도계로 305
엄준형이비인후과의원,강원특별자치도 삼척시 진주로 20 (남양동)
시민한의원,강원특별자치도 삼척시 근덕면 삼척로 3654
원덕의원,강원특별자치도 삼척시 원덕읍 삼척로 446-39
하얀이치과의원,강원특별자치도 삼척시 청석로 59 (교동)
방계원정신건강의학과의원,"강원특별자치도 삼척시 엑스포로 1 (읍중동, 풍년제과)"
안병두치과의원,강원특별자치도 삼척시 진주로 8 (남양동)
도계경희한의원,강원특별자치도 삼척시 도계읍 도계로 216
경희한의원,"강원특별자치도 삼척시 진주로 18, 2층 (남양동, 온누리삼일약국)"
참한의원,강원특별자치도 삼척시 원덕읍 호산중앙로 5-7
서울연세의원,강원특별자치도 삼척시 정상로 78 (교동)
근덕하나치과의원,강원특별자치도 삼척시 근덕면 교가1길 3
해담한의원,강원특별자치도 삼척시 진주로 29 (남양동)
다솜한의원,강원특별자치도 삼척시 진주로 19 (남양동)
예일내과재활의학과의원,"강원특별자치도 삼척시 진주로 5, 3층 (남양동, 예일내과재활의학과의원)"
김윤호안과의원,"강원특별자치도 삼척시 진주로 5 (남양동,2층)"
강남정형외과의원,강원특별자치도 삼척시 오십천로 464 (남양동)
열린성모이비인후과의원,강원특별자치도 삼척시 진주로 24 (남양동)
참사랑의원,강원특별자치도 삼척시 도계읍 도계로 295
호산의원,강원특별자치도 삼척시 원덕읍 호산2길 58
애플소아청소년과의원,"강원특별자치도 삼척시 척주로 9-19, 가동 3층 303호 (남양동, 삼일빌딩)"
나노소아청소년과의원,"강원특별자치도 삼척시 진주로 29 (남양동,동일빌딩302호)"
나소아과의원,강원특별자치도 삼척시 청석로 63 (교동)
이편한치과의원,"강원특별자치도 삼척시 도계읍 도계로 240, 2층"
서울치과의원,"강원특별자치도 삼척시 원덕읍 삼척로 428, 2층"
서울미소치과의원,"강원특별자치도 삼척시 정상로 71, 3층 (교동)"
두타한의원,"강원특별자치도 삼척시 진주로 6, 2층 (남양동)"
이사랑치과의원,"강원특별자치도 삼척시 진주로 29, 201호 (남양동, 동일빌딩)"
간디한의원,강원특별자치도 삼척시 하장면 중봉당골길 496-83
우리치과의원,"강원특별자치도 삼척시 진주로 9, 2층 (남양동, 한우리생고기축산물도매센터)"
의료법인보광의료재단속초보광병원,강원특별자치도 속초시 중앙로 11 (교동)
속초시보건소,강원특별자치도 속초시 수복로 36 (교동)
인심의원,강원특별자치도 속초시 중앙로 199 (동명동)
정진용치과의원,강원특별자치도 속초시 중앙로 117 (금호동)
양이비인후과의원,강원특별자치도 속초시 중앙로 106 (청학동)
최종열산부인과의원,강원특별자치도 속초시 중앙로108번길 6 (청학동)
"송제일,전종민내과의원",강원특별자치도 속초시 중앙로 93 (청학동)
강원도속초의료원,강원특별자치도 속초시 영랑호반길 3 (영랑동)
송소아청소년과의원,강원특별자치도 속초시 동해대로 4117 (조양동)
김봉수외과의원,"강원특별자치도 속초시 중앙로 108, 3층 (청학동, 함남빌딩)"
설악정형외과의원,강원특별자치도 속초시 동해대로 4203 (교동)
안경민치과의원,강원특별자치도 속초시 중앙로 194 (동명동)
김태영내과의원,강원특별자치도 속초시 동해대로 4288 (교동)
현대치과의원,강원특별자치도 속초시 중앙로 75 (청학동)
중원한의원,강원특별자치도 속초시 중앙로 108 (청학동)
김비뇨기과의원,강원특별자치도 속초시 중앙로 51 (교동)
이병호내과의원,강원특별자치도 속초시 청학로 27 (청학동)
조비뇨기과의원,강원특별자치도 속초시 중앙로 126 (금호동)
엠앤비의원,"강원특별자치도 속초시 동해대로 4213, 6,7층 (교동)"
제일산부인과의원,강원특별자치도 속초시 청학로 47 (청학동)
송춘익내과의원,강원특별자치도 속초시 중앙로 29 (교동)
장외과의원,강원특별자치도 속초시 중앙로 35 (교동)
이호치과의원,강원특별자치도 속초시 중앙로 145 (중앙동)
구명한의원,강원특별자치도 속초시 중앙로 92 (청학동)
조관식안과의원,강원특별자치도 속초시 중앙로 122 (금호동)
새생명한의원,강원특별자치도 속초시 동해대로 4278 (교동)
서울아산의원,강원특별자치도 속초시 중앙로 88-1 (청학동)
조현국치과의원,강원특별자치도 속초시 중앙로 153 (중앙동)
동인당한의원,강원특별자치도 속초시 중앙로 75 (청학동)
웰치과의원,강원특별자치도 속초시 중앙로 154-1 (중앙동)
이일남내과의원,강원특별자치도 속초시 동해대로 3944 (조양동)
속초 밝은안과의원,강원특별자치도 속초시 중앙로 51 (교동)
개성소아청소년과의원,강원특별자치도 속초시 동해대로 4215 (교동)
함종대치과의원,강원특별자치도 속초시 동해대로 4213 (교동)
선치과의원,강원특별자치도 속초시 청학로 37 (청학동)
교동치과의원,강원특별자치도 속초시 미시령로 3383 (교동)
조훈외과의원,강원특별자치도 속초시 수복로 93 (교동)
경희한의원,강원특별자치도 속초시 중앙로 176 (중앙동)
우리치과의원,강원특별자치도 속초시 중앙로 176 (중앙동)
유운수한의원,강원특별자치도 속초시 먹거리1길 35-9 (교동)
